year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,PB,set_number
2018.0,spring,LCS_a,4,FOX.A,TL.A,FOX.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/510124?gameHash=7fcb21f8ca123a29,https://www.youtube.com/watch?v=F9p7LZ5VDTw#t=1m14s,https://www.youtube.com/watch?v=F9p7LZ5VDTw,1.0
2018.0,spring,LCS_a,4,OPT.A,CG.A,OPT.A,CG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520123?gameHash=9f30e65b1f5d2b19,https://www.youtube.com/watch?v=vqlMwbRLCsY#t=1m8s,https://www.youtube.com/watch?v=vqlMwbRLCsY,1.0
2018.0,spring,LCS_a,4,TSM.A,CG.A,TSM.A,CG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520154?gameHash=92e0075d8b024a48,https://www.youtube.com/watch?v=sX6ZmZhcoyI#t=11m50s,https://www.youtube.com/watch?v=sX6ZmZhcoyI#t=5m11s,1.0
2018.0,spring,LCS_a,4,C9.A,TL.A,C9.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520156?gameHash=f1af1143bc9ef557,https://www.youtube.com/watch?v=xecjhWKCJx0#t=7m26s,https://www.youtube.com/watch?v=xecjhWKCJx0#t=1m50s,1.0
2018.0,spring,LCS_a,4,OPT.A,CLG.A,OPT.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520159?gameHash=1e592cc00d9e656f,https://www.youtube.com/watch?v=JhMAMVLpJlI#t=8m18s,https://www.youtube.com/watch?v=JhMAMVLpJlI#t=1m49s,1.0
2018.0,spring,LCS_a,4,100.A,FLY.A,100.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520161?gameHash=baf405e1b4332798,https://www.youtube.com/watch?v=-AGrl_yANnI#t=8m56s,https://www.youtube.com/watch?v=-AGrl_yANnI#t=2m28s,1.0
2018.0,spring,LCS_a,4,GG.A,FOX.A,GG.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520162?gameHash=6734255f4e9f4939,https://www.youtube.com/watch?v=ekgHsyPJTvk#t=9m18s,https://www.youtube.com/watch?v=ekgHsyPJTvk#t=3m32s,1.0
2018.0,spring,LCS_a,5,CG.A,TSM.A,CG.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea,https://www.youtube.com/watch?v=zsG_Q2rbFHc#t=67,https://www.youtube.com/watch?v=zsG_Q2rbFHc,1.0
2018.0,spring,LCS_a,5,100.A,CLG.A,100.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530078?gameHash=a40bc7f312e5a1ad,https://www.youtube.com/watch?v=fpPgogM2d2k#t=67,https://www.youtube.com/watch?v=fpPgogM2d2k,1.0
2018.0,spring,LCS_a,5,FLY.A,OPT.A,FLY.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530084?gameHash=97e9edf594509fe9,https://www.youtube.com/watch?v=vO_6c_3YBoY#t=75,https://www.youtube.com/watch?v=vO_6c_3YBoY,1.0
