year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,MVP,PB,set_number
2020.0,spring,PCS,2,ahq,LYB,ahq,LYB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334456?gameHash=09dcd9feb5b8a904,https://www.youtube.com/watch?v=faGDtdX_FGo&t=6m34s,Wako,https://www.youtube.com/watch?v=faGDtdX_FGo,1.0
2020.0,spring,PCS,2,TLN,ALF,ALF,TLN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334480?gameHash=71a7c5424d8a2cb7,https://www.youtube.com/watch?v=y64S5lATf30&t=7h10m21s,Assassin,https://www.youtube.com/watch?v=y64S5lATf30&t=7h02m26s,1.0
2020.0,spring,PCS,2,ALF,BJD,BJD,ALF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334790?gameHash=99bcc2ea696c24ed,https://www.youtube.com/watch?v=83K5ilgb_-I&t=15m33s,Minji,https://www.youtube.com/watch?v=83K5ilgb_-I,1.0
2020.0,spring,PCS,2,MCX,ALF,MCX,ALF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334821?gameHash=cec6ab6c6a660743,https://www.youtube.com/watch?v=v4P0eSQdSow&t=6m58s,Rock,https://www.youtube.com/watch?v=v4P0eSQdSow,1.0
2020.0,spring,PCS,2,ahq,RSG,ahq,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334863?gameHash=1a1109453252c0a5,https://www.youtube.com/watch?v=4sY_2JcUhiY&t=6m37s,Kongyue,https://www.youtube.com/watch?v=4sY_2JcUhiY,1.0
2020.0,spring,PCS,2,NOV,LYB,LYB,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334886?gameHash=6a589ee974b48349,https://www.youtube.com/watch?v=5YD0gLnB8B4&t=7m13s,Doedoii,https://www.youtube.com/watch?v=5YD0gLnB8B4,1.0
2020.0,spring,PCS,2,BJD,MCX,MCX,BJD,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334908?gameHash=ad66805431f2041c,https://www.youtube.com/watch?v=jBAYnUU-nvI&t=7m42s,Koala,https://www.youtube.com/watch?v=jBAYnUU-nvI,1.0
2020.0,spring,PCS,2,HKA,NOV,HKA,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334920?gameHash=8e7959262efc0241,https://www.youtube.com/watch?v=hBUVMjCF40s&t=5m56s,MnM,https://www.youtube.com/watch?v=hBUVMjCF40s,1.0
2020.0,spring,PCS,2,JT,TLN,TLN,JT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1324686?gameHash=40ac2467c2e6cfa6,https://www.youtube.com/watch?v=XXhyMidV2E8&t=8m03s,Lilv,https://www.youtube.com/watch?v=XXhyMidV2E8,1.0
2020.0,spring,PCS,3,NOV,ahq,ahq,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1310914?gameHash=f09f6d4575939c09,https://youtu.be/UXpmdn1kebE?t=391,Ysera,https://youtu.be/UXpmdn1kebE?t=2,1.0
